gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,7,5690.0172146473915,6,True
0,mix,5,5669.874071719536,10,True
0,mix,2,5623.538733530445,18,True
0,mix,2,5614.722392754115,18,True
0,mix,9,5683.355266002733,2,True
0,mix,6,5646.297495842197,8,True
0,mix,9,5663.034557918895,2,True
0,mix,3,5610.45572707995,15,True
0,mix,15,5736.690998062456,0,True
0,mix,7,5663.248427536321,6,True
0,mix,3,5669.613137482491,15,True
0,mix,18,5769.834341225394,0,True
0,mix,7,5647.972833596262,6,True
0,mix,11,5698.784339030956,0,True
0,mix,8,5681.0625302149465,4,True
0,mix,5,5647.865574835933,10,True
0,mix,12,5709.263796764265,0,True
0,mix,3,5594.1640299967175,15,True
0,mix,5,5630.530016173669,10,True
0,mix,9,5709.7515086444855,2,True
0,mix,8,5669.947709993773,4,True
0,mix,4,5645.615017670167,12,True
0,mix,5,5654.699746979355,10,True
0,mix,10,5753.822972225288,1,True
0,mix,14,5753.70517566403,0,True
0,mix,6,5659.4583680513315,8,True
0,mix,6,5649.542784884775,8,True
0,mix,8,5659.644919169544,4,True
0,mix,6,5678.410316278509,8,True
0,mix,10,5688.361582440549,1,True
0,mix,4,5657.024774630998,12,True
0,mix,3,5659.672801716755,15,True
0,mix,3,5615.556121519859,15,True
0,mix,10,5736.800135017438,1,True
0,mix,7,5711.7367681613905,6,True
0,mix,2,5629.85092650436,18,True
0,mix,12,5720.070756280617,0,True
0,mix,5,5628.1735682239905,10,True
0,mix,8,5651.484696835991,4,True
0,mix,3,5614.839767182669,15,True
0,mix,7,5695.200417988778,6,True
0,mix,3,5625.7063335533,15,True
0,mix,4,5662.250114448954,12,True
0,mix,13,5733.519247221628,0,True
0,mix,2,5608.98526972228,18,True
0,mix,6,5669.688377382147,8,True
0,mix,8,5681.90739001452,4,True
0,mix,6,5699.089890275324,8,True
0,mix,10,5676.02663259245,1,True
0,mix,9,5694.397715413652,2,True
0,mix,16,5788.791342055935,0,True
0,mix,10,5716.036474187607,1,True
0,mix,3,5593.628094560739,15,True
0,mix,4,5611.906646853937,12,True
0,mix,10,5697.1022252768025,1,True
0,mix,5,5644.458240255054,10,True
0,mix,4,5634.3490947034325,12,True
0,mix,11,5738.854690756099,0,True
0,mix,10,5676.492432498961,1,True
0,mix,6,5658.416743668115,8,True
0,mix,6,5668.69302682802,8,True
0,mix,6,5679.972916693486,8,True
0,mix,13,5724.833955692513,0,True
0,mix,10,5703.261464775772,1,True
0,mix,6,5662.712996695669,8,True
0,mix,7,5698.7359283764235,6,True
0,mix,7,5703.865031207178,6,True
0,mix,4,5635.22247328105,12,True
0,mix,8,5662.736392755628,4,True
0,mix,5,5674.403218302854,10,True
0,mix,8,5698.507798715406,4,True
0,mix,12,5711.5163685849575,0,True
0,mix,9,5700.516916675959,2,True
0,mix,5,5636.157707046945,10,True
0,mix,7,5680.287590240583,6,True
0,mix,9,5687.53487107954,2,True
0,mix,18,5783.371614078521,0,True
0,mix,10,5690.341184080236,1,True
0,mix,4,5653.602333566859,12,True
0,mix,8,5669.344066001473,4,True
0,mix,9,5671.8847751783105,2,True
0,mix,2,5644.578181783337,18,True
0,mix,6,5671.6803175273235,8,True
0,mix,7,5660.574000779534,6,True
0,mix,8,5693.313397760658,4,True
0,mix,3,5644.009283224565,15,True
0,mix,7,5679.841868413098,6,True
0,mix,14,5758.342960205274,0,True
0,mix,1,5579.9161317701855,25,True
0,mix,10,5688.945452664316,1,True
0,mix,4,5628.564479511123,12,True
0,mix,4,5642.793089986658,12,True
0,mix,6,5652.755379954248,8,True
0,mix,9,5695.399184710181,2,True
0,mix,8,5675.8072420616545,4,True
0,mix,2,5607.313857936496,18,True
