gp_idx,reward_type,final_position,total_time,points,changed_compound
0,time,14,5958.541554723093,0,True
0,time,6,5683.713951091965,8,True
0,time,4,5776.499356069118,12,True
0,time,3,5644.285410526746,15,True
0,time,8,5714.231334142616,4,True
0,time,18,5755.101745851985,0,True
0,time,3,5771.335673072608,15,True
0,time,9,5706.772383958897,2,True
0,time,8,5782.090341326826,4,True
0,time,6,5823.015134529123,8,True
0,time,11,5749.081886891558,0,True
0,time,1,5724.732308145826,25,True
0,time,8,5811.108524900877,4,True
0,time,8,5751.7891284054585,4,True
0,time,16,5807.356200670774,0,True
0,time,4,5688.151450829849,12,True
0,time,5,5730.551958015869,10,True
0,time,7,5781.383946664977,6,True
0,time,9,5655.028761588205,2,True
0,time,9,5711.716466196322,2,True
0,time,4,5798.269087397011,12,True
0,time,9,5699.490042344919,2,True
0,time,7,5684.760881503252,6,True
0,time,2,5612.937243924515,18,True
0,time,4,5789.7113026179895,12,True
0,time,10,5703.056253006654,1,True
0,time,8,5686.496918657057,4,True
0,time,12,5733.496242711808,0,True
0,time,5,5845.801738866086,10,True
0,time,6,5679.22101751871,8,True
0,time,12,5836.876817802051,0,True
0,time,10,5827.635205867834,1,True
0,time,8,5706.887807649061,4,True
0,time,7,5795.91718507268,6,True
0,time,4,5748.67781325291,12,True
0,time,4,5657.361121506995,12,True
0,time,5,5617.105986265768,10,True
0,time,1,5622.563893517848,25,True
0,time,5,5694.914130872554,10,True
0,time,12,5973.433885118794,0,True
0,time,2,5628.618829400707,18,True
0,time,5,5772.624558506819,10,True
0,time,3,5663.997208022558,15,True
0,time,3,5637.1985064621285,15,True
0,time,3,5631.459333453059,15,True
0,time,3,5652.251701881329,15,True
0,time,10,5706.412622382747,1,True
0,time,5,5744.785607954731,10,True
0,time,15,5818.371673472648,0,True
0,time,3,5659.490846339937,15,True
0,time,6,5704.084204115532,8,True
0,time,4,5656.290726151949,12,True
0,time,2,5611.876742189584,18,True
0,time,4,5656.279318923603,12,True
