gp_idx,algo,display_name,real_starting_pos,real_finishing_pos,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,9,5,-1391.5416717529297,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5297.055892944336,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1382.0207748413086,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2871.4119567871094,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1374.0042266845703,2,True
0,A2C,Bahrain GP (ALO),6,9,15,-6108.835784912109,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1370.919776916504,1,True
0,A2C,Bahrain GP (ALO),6,9,12,-5435.435012817383,3,True
0,A2C,Bahrain GP (ALO),6,9,18,-6569.879486083984,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-633.6618423461914,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-4863.816497802734,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3627.405807495117,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3847.3949584960938,3,True
0,A2C,Bahrain GP (ALO),6,9,17,-6414.602638244629,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3433.503730773926,2,True
0,A2C,Bahrain GP (ALO),6,9,12,-5664.93270111084,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3869.7860565185542,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-4843.544212341309,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4391.302513122559,2,True
0,A2C,Bahrain GP (ALO),6,9,15,-5690.20426940918,2,True
0,A2C,Bahrain GP (ALO),6,9,3,417.9554443359375,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4391.312881469727,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1403.6092529296875,1,True
0,A2C,Bahrain GP (ALO),6,9,10,-5054.337455749512,2,True
0,A2C,Bahrain GP (ALO),6,9,16,-5836.940773010254,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2149.41943359375,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3645.712615966797,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1816.4619827270508,4,True
0,A2C,Bahrain GP (ALO),6,9,9,-4401.781929016113,2,True
0,A2C,Bahrain GP (ALO),6,9,17,-6417.782783508301,4,True
0,A2C,Bahrain GP (ALO),6,9,6,-2132.7199478149414,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5103.055023193359,2,True
