gp_idx,algo,display_name,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),15,-5719.4846115112305,2,True
0,A2C,Bahrain GP (ALO),18,-6172.118827819824,1,True
0,A2C,Bahrain GP (ALO),3,534.6402130126953,2,True
0,A2C,Bahrain GP (ALO),12,-5694.401168823242,1,True
0,A2C,Bahrain GP (ALO),3,520.5655517578125,2,True
0,A2C,Bahrain GP (ALO),5,-1310.5517654418943,1,True
0,A2C,Bahrain GP (ALO),6,-1961.199935913086,1,True
0,A2C,Bahrain GP (ALO),10,-4628.249580383301,2,True
0,A2C,Bahrain GP (ALO),3,617.7337799072266,2,True
0,A2C,Bahrain GP (ALO),5,-1181.719596862793,1,True
0,A2C,Bahrain GP (ALO),12,-5256.465911865234,1,True
0,A2C,Bahrain GP (ALO),5,-1399.249885559082,3,True
0,A2C,Bahrain GP (ALO),9,-4199.963539123535,2,True
0,A2C,Bahrain GP (ALO),4,-558.359733581543,2,True
0,A2C,Bahrain GP (ALO),3,609.7865371704102,2,True
0,A2C,Bahrain GP (ALO),4,-466.6243743896485,1,True
0,A2C,Bahrain GP (ALO),2,1558.5875396728516,2,True
0,A2C,Bahrain GP (ALO),20,-11689.007034301758,0,False
0,A2C,Bahrain GP (ALO),4,-852.6564865112305,2,True
0,A2C,Bahrain GP (ALO),1,3731.1257095336914,2,True
0,A2C,Bahrain GP (ALO),2,1477.8582077026367,1,True
0,A2C,Bahrain GP (ALO),2,1681.8367385864258,2,True
0,A2C,Bahrain GP (ALO),11,-5401.263252258301,2,True
0,A2C,Bahrain GP (ALO),14,-5739.755187988281,1,True
0,A2C,Bahrain GP (ALO),7,-2681.3843841552734,1,True
0,A2C,Bahrain GP (ALO),13,-5184.117980957031,1,True
0,A2C,Bahrain GP (ALO),2,1450.400047302246,3,True
0,A2C,Bahrain GP (ALO),18,-6157.915954589844,2,True
0,A2C,Bahrain GP (ALO),2,1661.1500244140625,1,True
0,A2C,Bahrain GP (ALO),11,-5203.317489624023,1,True
0,A2C,Bahrain GP (ALO),11,-5300.6970291137695,3,True
0,A2C,Bahrain GP (ALO),15,-5803.168960571289,1,True
0,A2C,Bahrain GP (ALO),2,1666.3018493652344,2,True
0,A2C,Bahrain GP (ALO),6,-1933.1015167236328,2,True
0,A2C,Bahrain GP (ALO),20,-11720.258995056152,0,False
0,A2C,Bahrain GP (ALO),5,-1195.3014450073242,1,True
0,A2C,Bahrain GP (ALO),7,-2679.886688232422,1,True
0,A2C,Bahrain GP (ALO),18,-6267.136047363281,1,True
0,A2C,Bahrain GP (ALO),6,-1923.192092895508,2,True
0,A2C,Bahrain GP (ALO),3,280.30108642578125,1,True
0,A2C,Bahrain GP (ALO),3,417.2181701660156,2,True
0,A2C,Bahrain GP (ALO),10,-4631.623359680176,1,True
0,A2C,Bahrain GP (ALO),7,-2694.4834060668945,1,True
0,A2C,Bahrain GP (ALO),5,-1217.9266204833984,1,True
0,A2C,Bahrain GP (ALO),4,-641.7051239013672,1,True
0,A2C,Bahrain GP (ALO),5,-1173.4703903198242,2,True
0,A2C,Bahrain GP (ALO),7,-2910.9479370117188,2,True
0,A2C,Bahrain GP (ALO),3,523.0644454956055,1,True
0,A2C,Bahrain GP (ALO),4,-437.00677490234375,2,True
0,A2C,Bahrain GP (ALO),8,-3633.875701904297,2,True
0,A2C,Bahrain GP (ALO),2,1564.866600036621,1,True
0,A2C,Bahrain GP (ALO),16,-5942.454032897949,2,True
0,A2C,Bahrain GP (ALO),3,409.6719741821289,2,True
0,A2C,Bahrain GP (ALO),6,-2156.8743896484375,2,True
0,A2C,Bahrain GP (ALO),7,-2799.680763244629,1,True
0,A2C,Bahrain GP (ALO),20,-11631.514297485352,0,False
0,A2C,Bahrain GP (ALO),9,-4430.4758224487305,2,True
0,A2C,Bahrain GP (ALO),15,-5896.710723876953,3,True
0,A2C,Bahrain GP (ALO),9,-3997.1476135253906,1,True
0,A2C,Bahrain GP (ALO),7,-2702.1741104125977,1,True
0,A2C,Bahrain GP (ALO),19,-6421.245635986328,2,True
0,A2C,Bahrain GP (ALO),11,-5298.543594360352,1,True
0,A2C,Bahrain GP (ALO),16,-5831.806526184082,2,True
0,A2C,Bahrain GP (ALO),4,-537.8765563964844,1,True
0,A2C,Bahrain GP (ALO),13,-5507.924522399902,1,True
0,A2C,Bahrain GP (ALO),11,-5096.702293395996,1,True
0,A2C,Bahrain GP (ALO),7,-2791.6939086914062,2,True
0,A2C,Bahrain GP (ALO),6,-1933.6969833374023,1,True
0,A2C,Bahrain GP (ALO),18,-6167.014671325684,1,True
0,A2C,Bahrain GP (ALO),4,-638.7094192504883,1,True
0,A2C,Bahrain GP (ALO),2,1670.9479522705078,1,True
0,A2C,Bahrain GP (ALO),9,-4395.3184814453125,1,True
0,A2C,Bahrain GP (ALO),5,-1185.2734298706057,1,True
0,A2C,Bahrain GP (ALO),6,-2245.114761352539,1,True
0,A2C,Bahrain GP (ALO),6,-2140.810821533203,3,True
0,A2C,Bahrain GP (ALO),7,-2683.1800231933594,1,True
0,A2C,Bahrain GP (ALO),1,3898.3259353637695,2,True
0,A2C,Bahrain GP (ALO),13,-5496.030113220215,1,True
0,A2C,Bahrain GP (ALO),5,-1217.658836364746,2,True
0,A2C,Bahrain GP (ALO),3,502.4791793823242,2,True
0,A2C,Bahrain GP (ALO),9,-4312.658721923828,2,True
0,A2C,Bahrain GP (ALO),20,-11598.553527832031,0,False
0,A2C,Bahrain GP (ALO),6,-2278.203170776367,2,True
0,A2C,Bahrain GP (ALO),20,-11689.926780700684,0,False
0,A2C,Bahrain GP (ALO),20,-11576.263328552246,0,False
0,A2C,Bahrain GP (ALO),7,-2681.184410095215,2,True
0,A2C,Bahrain GP (ALO),6,-2160.954147338867,2,True
0,A2C,Bahrain GP (ALO),12,-5268.393890380859,2,True
0,A2C,Bahrain GP (ALO),7,-2891.3548583984375,3,True
0,A2C,Bahrain GP (ALO),3,517.7621459960938,2,True
0,A2C,Bahrain GP (ALO),4,-425.32476806640625,2,True
0,A2C,Bahrain GP (ALO),7,-2897.7128829956055,3,True
0,A2C,Bahrain GP (ALO),19,-6315.073448181152,1,True
0,A2C,Bahrain GP (ALO),14,-5545.2446365356445,1,True
0,A2C,Bahrain GP (ALO),9,-4183.9005126953125,1,True
0,A2C,Bahrain GP (ALO),2,1694.0566329956057,1,True
0,A2C,Bahrain GP (ALO),1,3925.947624206543,1,True
0,A2C,Bahrain GP (ALO),7,-2702.0170288085938,2,True
0,A2C,Bahrain GP (ALO),13,-5400.8818283081055,2,True
0,A2C,Bahrain GP (ALO),12,-5236.7568359375,2,True
0,A2C,Bahrain GP (ALO),4,-648.8958129882812,2,True
0,A2C,Bahrain GP (ALO),13,-5377.849327087402,2,True
0,A2C,Bahrain GP (ALO),8,-3439.066276550293,2,True
0,A2C,Bahrain GP (ALO),1,3909.281730651855,2,True
0,A2C,Bahrain GP (ALO),17,-5994.466857910156,1,True
0,A2C,Bahrain GP (ALO),5,-1406.5979385375977,2,True
0,A2C,Bahrain GP (ALO),12,-5243.918197631836,2,True
0,A2C,Bahrain GP (ALO),17,-6098.31534576416,2,True
0,A2C,Bahrain GP (ALO),5,-1177.9837493896484,2,True
0,A2C,Bahrain GP (ALO),6,-1952.307304382324,2,True
0,A2C,Bahrain GP (ALO),19,-6403.209503173828,2,True
0,A2C,Bahrain GP (ALO),5,-1262.4320602416992,2,True
0,A2C,Bahrain GP (ALO),5,-1243.3058166503906,2,True
0,A2C,Bahrain GP (ALO),10,-4959.652549743652,1,True
0,A2C,Bahrain GP (ALO),20,-11712.558128356934,0,False
0,A2C,Bahrain GP (ALO),1,3938.0168228149414,2,True
0,A2C,Bahrain GP (ALO),1,3817.7183380126953,2,True
0,A2C,Bahrain GP (ALO),7,-2718.855812072754,2,True
0,A2C,Bahrain GP (ALO),16,-5833.714668273926,1,True
0,A2C,Bahrain GP (ALO),6,-2137.330368041992,2,True
0,A2C,Bahrain GP (ALO),10,-4759.932220458984,1,True
0,A2C,Bahrain GP (ALO),9,-4496.59268951416,2,True
0,A2C,Bahrain GP (ALO),20,-11825.834823608398,0,False
0,A2C,Bahrain GP (ALO),13,-5368.751327514648,1,True
0,A2C,Bahrain GP (ALO),3,528.215087890625,2,True
0,A2C,Bahrain GP (ALO),13,-5393.573928833008,1,True
0,A2C,Bahrain GP (ALO),10,-4666.242385864258,1,True
0,A2C,Bahrain GP (ALO),13,-5724.421821594238,1,True
0,A2C,Bahrain GP (ALO),4,-632.7929840087891,1,True
0,A2C,Bahrain GP (ALO),7,-2683.478012084961,2,True
0,A2C,Bahrain GP (ALO),6,-1936.0718994140625,1,True
0,A2C,Bahrain GP (ALO),6,-1947.6562576293943,2,True
0,A2C,Bahrain GP (ALO),1,3934.1967163085938,1,True
0,A2C,Bahrain GP (ALO),9,-4289.197807312012,2,True
0,A2C,Bahrain GP (ALO),7,-2714.372398376465,1,True
0,A2C,Bahrain GP (ALO),5,-1306.186294555664,2,True
0,A2C,Bahrain GP (ALO),4,-639.1900634765625,2,True
0,A2C,Bahrain GP (ALO),16,-6070.457489013672,3,True
0,A2C,Bahrain GP (ALO),1,3789.367126464844,2,True
0,A2C,Bahrain GP (ALO),4,-636.3239669799805,2,True
0,A2C,Bahrain GP (ALO),2,1575.9774169921875,2,True
0,A2C,Bahrain GP (ALO),9,-4078.938621520996,1,True
0,A2C,Bahrain GP (ALO),7,-2694.5848388671875,1,True
0,A2C,Bahrain GP (ALO),11,-5189.311553955078,2,True
0,A2C,Bahrain GP (ALO),20,-11591.604736328123,0,False
0,A2C,Bahrain GP (ALO),7,-2695.3671798706055,2,True
0,A2C,Bahrain GP (ALO),20,-11574.700660705566,0,False
0,A2C,Bahrain GP (ALO),9,-4514.447715759277,1,True
0,A2C,Bahrain GP (ALO),12,-5350.442916870117,2,True
0,A2C,Bahrain GP (ALO),13,-5505.252227783203,2,True
0,A2C,Bahrain GP (ALO),12,-5343.518814086914,2,True
0,A2C,Bahrain GP (ALO),5,-1206.6304473876953,1,True
0,A2C,Bahrain GP (ALO),4,-651.3314895629883,2,True
0,A2C,Bahrain GP (ALO),8,-3442.739158630371,1,True
0,A2C,Bahrain GP (ALO),11,-5097.845413208008,1,True
0,A2C,Bahrain GP (ALO),13,-5379.544906616211,1,True
0,A2C,Bahrain GP (ALO),18,-6246.32649230957,1,True
0,A2C,Bahrain GP (ALO),8,-3437.8430099487305,1,True
0,A2C,Bahrain GP (ALO),15,-5696.687553405762,1,True
0,A2C,Bahrain GP (ALO),6,-1925.2049102783203,2,True
0,A2C,Bahrain GP (ALO),8,-3773.4821243286137,2,True
0,A2C,Bahrain GP (ALO),10,-4761.692687988281,2,True
